review_id,user_id,business_id,review_count_user,text,average_stars_user,yelping_days,useful,funny,cool,fans,Cluster
CmRqLNRsGuMLKV9xZsEcrg,vIw8QImqJht5GnmmneqhKA,OEkvfdJAl_-nt8cfH9qbbg,8,I needed an honest mechanic with good communication to take a look at a used car in the Trenton area that I was hoping to buy. Ike was very helpful over the phone and the followup after the inspection was prompt and informative. I wish I lived close enough to use them for all my auto maintenance!!,4.25,4513,1,0,0,0,1
TwmyPBjNu6CEDnYpO9M8gA,wjF3QcTR0RKooLxYqB_m6g,J0QQMuZkr7ee5ih1H19QsA,91,It's Arby's and it's finally open!  They've only been open a few hours so couldn't miss my chance to be the first to review and put them on the map!  The 2 for $6 French dip and swiss met all tasty expectations!  Modern interior and a great location that needed more options and super easy to get to from I-10.,4.39,5001,94,9,34,3,1
kEKFqbxgFoPCmESbGKwlig,sjV4NqZx5d0NqY1y7p6fEw,O61KbeD6tSllqezTeX1ufg,3332,"The Westshore Grand, A Tribute Portfolio Hotel on Kennedy Boulevard in Tampa is a great hotel that has much to offer and is in the middle of everything. I really like the rooftop pool and the views from the rooms. The staff here is very friendly and accommodating to make sure that you have everything that you need for the best stay",4.99,4988,718,327,432,23,0
ZUrvrBVw-69NIIp-fNj0_w,xoUqv7XnsAEB-aYmWIF1Ng,7VgOHNhhXYVd-k2oOVmVlg,5,"The worst pedi ever! 
Worst mani ever 
I needed trimming after I left 
She was awful, didn't even try to do a good job",2.0,3369,6,5,0,1,1
cbTtgQkEsHl-oAugV7r-tA,2inTYQaFvHYiUJS4IYB8GA,0I-xCVoFt6DpsHYaOS97BQ,2,Food was outstanding and the employees are so respectful. Pizza and Burgers are absolutely incredible and I could not recommend them any more to anyone in the area. They have an amazing selection of food in the deli and in general provide an amazing experience.,5.0,2308,0,0,0,0,0
EaEHLms7kNqmqv3RS1rPGQ,Z2QyDJZMp8GdUGPvQzbXvw,vjTfv76EveFet9m56GEH9w,8,"Oil Change- Done Expeditiously 
Maintenance of the guest area is/was extremely horrible. Empty cups laying around it looked as though the floor hadn't been mopped in months the coffee pot was stained with OLD coffee. The restroom was so disgusting to the point the smell of it was making me sick...",3.0,2421,4,1,1,0,0
ISq0nIv-iSWDPU_0MbXyKA,_DcDk34btRQkIEzvUVjoSg,FDx_EgHcBvIRGH4UlyuNCA,12,We enjoyed our frozen yogurt here.  I have sugar restrictions and the serve went to the trouble looking up the grams for me.  The kids gobbled up theirs.,3.92,2490,1,0,0,0,1
v5PRUfWAWdau8vc3soOQsg,tewjjyv1a5ZFuJULqHZbdQ,MAlsr0w9jmBAyiDI05901A,1,"I just wanted to take the time to thank the staff at Montebello at Summit Ridge. We lived in our apartment here for a year and a half and loved it. The grounds were maintained well and the staff was always so helpful and friendly. It was quiet and peaceful. This place is awesome, so thank you again! ~ Carrie Kidder",5.0,2927,0,0,0,0,0
HL30Y_hh2v3VS_MFEyOhHg,RCSQ8s_9PgDqSw57-EnvAA,PPyawYLWYksePybbGmlpMw,1,"A little on the dirty side, food was good but messed up my stomach mins later. Probably never go there again.",2.0,4018,0,0,0,0,1
nX0PE3lvCaqFgvDLwkv5Tw,oO3H4RKXL1OCAYNwv9VFbQ,iPuUDOwZKlGewjaDVo9kOg,2,"horrible experience, the girl working had a really bad attitude and coffee is way too overpriced",1.0,1262,0,0,0,0,0
fx3lFiDC4Nve6D4_OauwsA,xm6qiQMK6kZdYXA4CgFd2A,bbEXAEFr4RYHLlZ-HFssTA,15,Went to UCSB for graduate school. This place has the best food EVER. We ate here weekly! What a diamond in the rough! Everything here melts in your mouth. Now that I've moved I wish they would put one where I live! I can still taste those chicken sandwiches!,4.71,4966,1,0,0,0,0
